1
50 50
40	-100	-34	80	-42	52	-23	96	-41	-60	98	62	-97	-26	-8	88	-92	-75	98	-43	-92	-39	-5	-85	100	-45	-41	-20	81	-17	83	-10	78	87	0	-94	-15	34	16	100	54	71	-76	-73	-42	12	46	-2	-62	80
-11	2	35	-33	-28	-68	-39	8	-95	71	78	25	-30	11	-99	-28	56	-62	87	1	-31	21	-71	-90	-79	43	28	-15	99	76	-97	-99	-29	63	91	78	-47	91	-70	-61	-82	-8	-35	-19	84	-100	72	67	21	-40
-91	-21	-93	86	52	52	-66	87	47	27	19	-80	47	86	57	33	71	26	-16	-45	-48	-20	-48	-64	-33	-2	42	-62	43	69	97	100	42	-31	55	83	-16	-20	90	-7	-96	-22	-53	31	-2	54	58	67	45	-36
-24	76	-21	43	0	20	69	63	76	-98	75	-31	53	-52	-52	-74	-49	-72	-43	-86	99	-81	56	81	-95	-58	-26	-36	-33	-34	22	46	-58	40	-23	87	38	36	3	99	19	8	42	-76	-85	-4	-68	-16	28	-77
-29	-57	23	38	54	-66	10	-58	-14	39	-45	-42	56	-41	50	-48	-70	-76	83	79	-90	5	7	51	33	-26	11	71	10	-76	-84	-39	34	-26	88	-39	-13	-6	69	-85	-63	-50	-99	-44	46	22	-55	-60	78	-85
92	-29	81	94	-65	23	-43	-12	69	95	-48	-22	36	-38	-23	18	-7	-92	-27	19	31	83	-6	46	29	45	-75	-98	-2	-71	64	45	15	3	71	-87	34	8	-32	-51	-32	2	-97	-61	16	49	-56	75	30	-89
-68	20	-56	-89	-68	-6	43	88	-78	20	-86	-36	100	49	79	0	93	4	59	51	23	57	49	38	-87	98	-62	23	-67	73	-16	29	-93	-93	-68	-79	99	37	-21	29	-55	-81	-11	-8	72	20	57	-54	-83	-27
60	47	45	-48	99	-49	-29	69	44	3	14	98	-73	-19	23	37	45	-71	-5	-28	72	51	84	76	58	-6	-73	-22	-92	93	30	84	42	14	46	-80	-10	-26	28	-97	83	-28	-88	-37	-35	84	12	-11	-93	84
-15	62	-10	3	30	25	61	-36	-23	-90	-28	75	-82	52	-14	40	-82	62	-22	-23	-40	0	-34	48	-19	85	-31	38	-61	-88	32	-18	-69	-89	-32	34	-35	-23	-80	89	43	-31	91	58	47	73	-8	84	25	56
-45	81	73	-39	70	64	-73	6	-84	68	-92	-9	-62	-40	28	7	-71	49	60	71	31	-33	-58	-97	37	20	25	9	-79	58	-29	-39	-18	93	-56	-77	-25	-76	-34	5	60	98	-12	15	-14	-67	-25	-41	-70	99
